コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),YouTube Premium (JPY),動画再生ページの広告 (JPY),推定 DoubleClick 収益 (JPY),推定 AdSense 収益 (JPY),YouTube 広告収益 (JPY),広告の表示回数,再生回数に基づく CPM (JPY),CPM (JPY),RPM (JPY),収益化対象の推定再生回数,YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,チャンネル登録者,推定収益 (JPY),インプレッション数,インプレッションのクリック率 (%)
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,"Apr 11, 2026",4466,44764,0:18:58,25.49,10782.663,12470.142,0,12470.142,22531.69,46294,916.146,486.709,515.222,24594,19086,6224.4888,37,20975,0.18,44764,14152.8126,45,23252.806,1181222,2.61
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,"Oct 12, 2025",3417,36378,0:19:28,34.2,8887.914,14391.245,0,14391.245,26160.608,50678,1117.306,516.212,637.483,23414,14601,4899.4103,304,17485,1.74,36378,11810.1597,59,23279.159,600754,3.75
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カトリーナ狂気まとめ①【アンジュ・カトリーナ/にじさんじ切り抜き】,"Mar 29, 2024",1617,55705,0:12:21,45.88,9475.122,15950.054,0,15950.054,29000.164,54892,931.493,528.313,456.593,31133,23672,5013.534,359,39953,0.9,55705,11479.0252,55,25425.175,714354,2.9
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】","Jun 17, 2023",1127,68763,0:07:30,39.94,4845.1,12404.962,0,12404.962,22553.538,53052,571.091,425.121,250.862,39492,18810,2484.4461,685,32010,2.14,68763,8597.3963,57,17250.061,1208068,4.35
WZqkyN_TPfU,【ガチ照れ】リゼアンの「愛してるゲーム」は世界遺産かもしれない【偏尊報道】,"May 5, 2024",17,965749,0:00:27,164.58,3255.166,0,0,0,,,,,16.701,,238597,1813.8858,0,0,,978404,7506.3953,399,16128.546,465322,3.51
UmG9xMcpWAE,【熟年夫婦?】アンジュとサロメが見る酔っ払い新年配信が湿度高めで面白い【にさんじ/切り抜き】,"Jan 5, 2025",288,151745,0:02:41,55.98,4858.525,23562.952,0,23562.952,42837.357,105402,496.895,406.419,187.157,86210,54468,2558.8531,0,0,,151745,6795.6895,88,28423.283,2740909,4.36
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,"Mar 20, 2026",2917,31680,0:12:18,25.31,4946.901,16455.139,0,16455.139,29909.51,42684,1563.405,700.719,675.812,19131,12084,2768.8033,113,13203,0.86,31680,6496.2,22,21402.04,806323,2.96
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,"Oct 31, 2025",1717,25917,0:13:27,47.04,4576.761,10966.549,0,10966.549,19931.165,36721,1286.463,542.773,599.107,15493,10806,2510.6652,303,18602,1.63,25917,5814.5628,23,15543.31,312257,4.3
_FY5SreoJDs,激かわおまわりさんによるカトリーナ面接（アンジュ、栞葉るり）,"Dec 9, 2023",55,240018,0:00:39,71.08,808.472,0,0,0,,,,,16.649,,58818,625.0059,0,0,,241573,2606.7086,58,3996.033,328809,4.55
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの逆転裁判まとめ【 アンジュ・カトリーナ/切り抜き/にじさんじ 】,"Jun 27, 2023",617,32017,0:04:48,43.23,1219.765,4210.355,0,4210.355,7655.02,20551,482.358,372.489,169.599,15870,8481,737.015,290,17588,1.65,32017,2568.9106,54,5430.119,535041,4.59
06cMtCNFOTI,【激かわ】デビューした新人にカトリーナ面接をさせご満悦のアンジュまとめ【にじさんじ切り抜き/アンジュ・カトリーナ】,"Dec 9, 2023",233,10732,0:01:48,46.48,196.258,1535.821,0,1535.821,2792.389,8908,346.107,313.47,161.481,8068,3347,100.1185,134,5763,2.33,10732,322.7955,15,1732.114,134884,3.8
7FyovEYud1A,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,"Mar 19, 2026",2939,925,0:13:22,27.29,183.286,726.525,0,726.525,1320.996,1624,2388.781,813.421,983.579,553,420,104.2845,2,452,0.44,925,206.0839,-1,909.812,13720,4.98
ylxh6D7PC08,【爆速】ガチャで感情が荒れまくるアンジュまとめ #にじさんじ #アンジュカトリーナ #vtuber #アンジュ切り抜き,"Dec 30, 2023",34,13343,0:00:27,82,47.236,0,0,0,,,,,15.669,,3397,23.6644,0,0,,13549,103.3773,8,209.078,84290,1.83
d1lznATZxMo,やっぱりどの方向でも美少女なアンジュカトリーナって可愛すぎる,"Apr 5, 2024",14,25460,0:00:14,102.32,84.386,0,0,0,,,,,16.86,,6195,22.1224,0,0,,25656,101.3283,12,429.254,54807,2.79
7BIojg8voq4,年齢の扱いには過敏な26歳のアンジュ #アンジュ #にじさんじ #アンジュカトリーナ,"Nov 23, 2025",38,7417,0:00:30,80.03,35.284,0,0,0,,,,,25.172,,4606,20.6033,0,0,,14491,64.9593,1,186.484,26447,3.86
AygPjheeOAE,【ブチギレ】的確にラインを超えていくリスナーたち #アンジュカトリーナ,"May 25, 2024",31,6741,0:00:29,93.61,23.378,0,0,0,,,,,18.092,,1893,14.7852,0,0,,7514,54.4583,9,121.979,103968,2.89
