コンテンツ,動画のタイトル,動画公開時刻,長さ,インプレッション数,インプレッションのクリック率 (%),YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,高評価率（低評価比） (%),視聴を継続 (%),ユニーク視聴者数,平均視聴率 (%),総再生時間（単位: 時間）,推定収益 (JPY),視聴回数,RPM (JPY)
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの逆転裁判まとめ【 アンジュ・カトリーナ/切り抜き/にじさんじ 】,"Jun 27, 2023",617,535041,4.59,8481,737.015,95.35,,,43.23,2568.9106,5429.793,32017,169.599
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,"Oct 31, 2025",1717,312257,4.3,10806,2510.6652,99.22,,,47.04,5814.5628,15475.061,25917,599.107
06cMtCNFOTI,【激かわ】デビューした新人にカトリーナ面接をさせご満悦のアンジュまとめ【にじさんじ切り抜き/アンジュ・カトリーナ】,"Dec 9, 2023",233,134884,3.8,3347,100.1185,99.48,100,,46.48,322.7955,1731.426,10732,161.481
7FyovEYud1A,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,"Mar 19, 2026",2939,13720,4.98,420,104.2845,100,,,27.29,206.0839,909.812,925,983.579
cbEDMw-fPWc,【リゼるりてぇてぇ①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,"May 23, 2025",3704,718,0,4,0.0285,100,,,1.78,0.0916,0.62,5,124
vp72-fovks4,【100万人懺悔!?】記念配信でずっと言えなかったデビュー時の嘘を泣きながら謝る配信に...【にじさんじ／アンジュ・カトリーナ】,"Apr 8, 2026",271,673,7.28,35,1.0677,100,,,43.73,2.502,10.509,76,138.276
ZQ3ZzDfZROE,シーケンス 01 11,,624,0,,1,0.1179,,,,68,0.1179,,1,
XvuLcX_ZNKU,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,,2933,0,,3,0.0509,,,,2.08,0.0509,0.093,3,31
Jf5anxLLn5k,ポートフォリオ02,,44,0,,1,0.012,,,,98.07,0.012,,1,
ygOXcNm6K-E,20240328統合用,,1617,0,,2,0.4501,0,,,50.1,0.4501,,2,
xUEl11jV_8I,20260328リゼアンまとめ01 2,,2208,0,,10,1.153,,,,15.55,1.2398,,13,
92d2W_Qaez4,劇場版ベルアン,,3859,0,,1,0.0903,,,,8.43,0.0903,0.173,1,173
as2LlBNpkao,ろめじゅり本編 2,,5456,0,,1,0.1856,,,,12.24,0.1856,,1,
KfJSI7OTsuo,統合用 1,,3702,0,,8,1.0751,,,,13.07,1.0751,2.076,8,259.5
q4j8RjCjdhU,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,,2929,0,,1,0.0633,,,,7.78,0.0633,0.116,1,116
3hmetZbLrfQ,シーケンス 04 1,,2762,0,,3,0.7526,,,,32.7,0.7526,,3,
9YIS7aN16z4,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,,1265,0,,3,0.0218,,,,2.07,0.0218,0.051,3,17
u77Rirw5tXQ,シーケンス 02 1,,3993,0,,1,0.6348,,,,57.24,0.6348,,1,
5jOcVARez1w,予告編用,,59,0,,10,0.0824,,,,53.88,0.2914,,33,
N5oxPlJJ4x8,20240811統合2,,3288,0,,8,4.8742,,,,59.32,4.8762,,9,
DXVwr_2tc6s,統合1_YouTube,,3659,0,,5,0.5664,,,,8.71,0.6198,,7,
2APJJECBgrc,2025年5月23日,,3704,0,,1,0.0569,,,,5.53,0.0569,,1,
qV_9QyLbBYs,統合用 5,,2375,0,,1,0.032,,,,4.86,0.032,0.061,1,61
Cg5JxUPir0E,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,,2762,0,,2,0.0126,,,,0.82,0.0126,0.023,2,11
RqTEe2h0pfc,後編 YouTube,,1661,0,,6,0.4568,,,,16.5,0.4568,0.861,6,143.5
HRUzQKL0N3c,2025 04 30 17 44 24 YouTube,,606,0,,1,0.0341,,,,20.25,0.0341,,1,
oBZqOi0c0Bw,【劇場版てぇてぇ】初配信から100万人到達までのてぇてぇまとめ劇場版【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,,4466,0,,4,1.3804,,,,27.82,1.3804,,4,
MY3CjJumCKY,description of my job,,299,0,,0,0,,,,0.25,0.0002,,1,
XVMqN1AaAQE,２０２４0702夢星家テスト統合_YouTube,,6936,0,,3,1.2866,,,,22.26,1.2866,,3,
Q7zpW1wV_9s,20260328リゼアンまとめ01_YouTube,,2209,0,,5,0.126,,,,4.11,0.126,,5,
gYEv45qmoB0,【予告編】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,,101,0,,11,0.1695,100,,,49.15,0.524,,38,
86SzTEV0OsA,統合用 6,,2331,0,,9,1.2655,,,,19.55,1.2657,,10,
pj8J4u6O7mU,【てぇてえ総集編②】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,,1825,0,,1,0.1106,,,,21.82,0.1106,0.208,1,208
jZiIzK9EnrU,20240706夢星家統合 1,,6946,0,,1,0.0876,,,,4.54,0.0876,,1,
SfSTiMwgTdk,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,,1705,0,,1,0.0395,,,,8.33,0.0395,0.075,1,75
mIMDbqxkkVM,リゼアン①サイドテロップ追加,,1588,0,,6,0.8126,,,,17.43,0.8455,,11,
IK1SQU0j4Ts,劇場版ベルアン,,3733,0,,7,1.0448,100,,,14.39,1.0448,2,7,285.714
