video_id,title,published_at,length_min,avg_watch_min,age_days,views,views_per_day,watch_hours_per_day,impressions_per_day,rev_per_day,rpm_jpy,avg_view_pct
2g2QaBEWz5I,【泥酔】正月に酒を飲み、真理に辿り着くにじさんじの錬金術師w,2025-01-04,1.3166666666666667,0.6666666666666666,476,1429,3.0021008403361344,0.02912436974789916,85.40126050420169,0.04482983193277311,17.611,51.88
06cMtCNFOTI,【激かわ】デビューした新人にカトリーナ面接をさせご満悦のアン,2023-12-09,3.8833333333333333,1.8,868,10732,12.36405529953917,0.37188421658986176,155.3963133640553,1.9955230414746543,161.481,46.48
vp72-fovks4,【100万人懺悔!?】記念配信でずっと言えなかったデビュー時,2026-04-08,4.516666666666667,1.9666666666666666,17,76,4.470588235294118,0.14717647058823527,39.588235294117645,0.6181764705882353,138.276,43.73
UmG9xMcpWAE,【熟年夫婦?】アンジュとサロメが見る酔っ払い新年配信が湿度高,2025-01-05,4.8,2.683333333333333,475,151745,319.46315789473687,14.306714736842107,5770.3347368421055,59.83849052631579,187.157,55.98
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの,2023-06-27,10.283333333333333,4.8,1033,32017,30.994191674733784,2.48684472410455,517.9486931268151,5.256649564375604,169.599,43.23
E_nP6_LUwjE,【微グロ注意】見える世界が二人で変わる話題の最新ゲーム 2視,2023-04-12,13.433333333333334,4.833333333333333,1109,187239,168.83588818755635,13.644350405770965,3128.3489630297568,5.710941388638413,33.812,36.1
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【に,2023-02-24,15.116666666666667,5.633333333333334,1156,157473,136.22231833910035,12.793471712802768,3211.221453287197,9.140847750865051,67.043,37.28
6zA8ajECkDA,【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で,2023-06-17,18.783333333333335,7.5,1043,68763,65.92809204218601,8.242949472674976,1158.2627037392137,16.538888782358583,250.862,39.94
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭,2023-03-10,22.4,7.9,1142,656206,574.6112084063047,75.80993283712785,10513.82837127846,130.45557530647986,226.782,35.34
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベル,2023-06-16,23.95,9.9,1044,393922,377.3199233716475,62.27122260536398,5389.830459770115,136.72886781609196,362.142,41.35
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取,2024-03-29,26.95,12.35,757,55705,73.58652575957728,15.163837780713342,943.664464993395,33.586756935270806,456.593,45.88
tHjMQ8sV3QE,【みこアン①】からかい上手のみこと様と照れるアンジュまとめ/,2023-04-28,27.483333333333334,10.85,1093,166598,152.42268984446477,27.57335178408051,2607.3513266239706,,,39.49
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまで,2025-10-31,28.616666666666667,13.45,176,25917,147.2556818181818,33.037288636363634,1774.1875,88.31426136363636,599.107,47.04
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベ,2023-06-02,29.516666666666666,11.85,1058,273667,258.66446124763706,51.14813620037807,3850.9413988657843,111.72456994328923,431.8,40.2
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版,2023-03-31,31.516666666666666,10.45,1121,626601,558.9661016949152,97.35404380017842,9363.628010704728,187.79656021409454,335.8,33.16
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさん,2023-05-04,35.266666666666666,14.516666666666667,1087,121856,112.10303587856485,27.149646734130634,1268.3735050597977,45.9738150873965,409.998,41.2
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ,2023-12-29,47.483333333333334,14.183333333333334,848,1096327,1292.8384433962265,305.81432676886794,34878.00825471698,487.6766403301887,377.222,29.89
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(,2026-03-27,48.55,15.283333333333333,29,98557,3398.5172413793102,865.9053137931033,96406.5172413793,2039.2575862068966,599.657,31.49
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ,2026-03-20,48.61666666666667,12.3,36,31680,880.0,180.45,22397.86111111111,594.5011111111112,675.812,25.31
