cadence_bin,n,median_perf,median_views
0本（ブランク）,7,4.1778044692044425,157473.0
1本,6,2.615952202980078,77131.0
2本,5,3.9605059349801723,151745.0
3本,2,8.896281525303056,116001.5
4-5本,4,1.5267709030352425,220132.5
6本以上,2,0.3590841086579098,50390.0
