video_id,title,published_at,length_sec,engaged_views,avg_watch_time,avg_view_pct,premium_jpy,page_ad_jpy,doubleclick_jpy,adsense_jpy,yt_ad_rev_jpy,ad_impressions,cpm_playback_jpy,cpm_jpy,rpm_jpy,monetized_playbacks,premium_views,premium_watch_hours,endscreen_clicks,endscreen_impressions,endscreen_ctr,views,watch_hours,subs_gained,est_revenue_jpy,impressions,impression_ctr,avg_watch_sec,format,rev_per_view,watch_hours_per_view,subs_per_1k_views,impressions_per_view,year,age_days,views_per_day,length_bin,tag
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,2023-05-04,2116.0,121856,0:14:31,41.2,15988.957,33984.58,0.0,33984.58,61783.907,125094.0,934.421,493.9,409.998,66120.0,40629,10061.4752,1345,53399,2.52,121856,29511.666,215,49973.537,1378722,4.53,871,Long,0.41010321198792016,0.24218475905987397,1.7643776260504203,11.314354648109244,2023,1087,112.10303587856485,30-40m,"compilation,teetee,collab"
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,2026-03-27,2913.0,98557,0:15:17,31.49,16839.884,42298.586,0.0,42298.586,76777.449,125316.0,1032.955,612.671,599.657,74328.0,34273,9580.7897,0,0,,98557,25111.2541,89,59138.47,2795789,2.64,917,Long,0.6000433251823818,0.25478914841157907,0.9030307334841767,28.367229116145985,2026,29,3398.5172413793102,40-50m,"compilation,first_collab,collab"
E_nP6_LUwjE,【微グロ注意】見える世界が二人で変わる話題の最新ゲーム 2視点を比較【 違う冬のぼくら/戌亥とこ/アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-04-12,806.0,187239,0:04:50,36.1,1545.435,4787.999,0.0,4787.999,8705.1,27041.0,403.893,321.922,33.812,21553.0,34086,3665.1069,903,71395,1.26,187239,15131.5846,145,6333.434,3469339,4.1,290,Long,0.0338253996229418,0.08081427800832092,0.7744113138822575,18.528933608916947,2023,1109,168.83588818755635,10-20m,collab
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,2023-02-24,907.0,157473,0:05:38,37.28,2307.441,8259.379,0.0,8259.379,15016.313,37399.0,575.845,401.516,67.043,26077.0,40374,3874.9242,1623,80411,2.02,157473,14789.2533,261,10566.82,3712172,2.9,338,Long,0.06710242390759051,0.0939161208588139,1.6574269874835688,23.57338718383469,2023,1156,136.22231833910035,10-20m,"first_collab,collab"
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,2026-04-11,4466.0,44764,0:18:58,25.49,10782.663,12470.142,0.0,12470.142,22531.69,46294.0,916.146,486.709,515.222,24594.0,19086,6224.4888,37,20975,0.18,44764,14152.8126,45,23252.806,1181222,2.61,1138,Long,0.5194532660173353,0.31616505674202483,1.0052720936466804,26.387766955589314,2026,14,3197.4285714285716,60m+,"compilation,teetee,collab"
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-12,3417.0,36378,0:19:28,34.2,8887.914,14391.245,0.0,14391.245,26160.608,50678.0,1117.306,516.212,637.483,23414.0,14601,4899.4103,304,17485,1.74,36378,11810.1597,59,23279.159,600754,3.75,1168,Long,0.6399241024795206,0.32465115454395516,1.6218593655506075,16.51421188630491,2025,195,186.55384615384617,50-60m,"compilation,first_collab,collab"
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カトリーナ狂気まとめ①【アンジュ・カトリーナ/にじさんじ切り抜き】,2024-03-29,1617.0,55705,0:12:21,45.88,9475.122,15950.054,0.0,15950.054,29000.164,54892.0,931.493,528.313,456.593,31133.0,23672,5013.534,359,39953,0.9,55705,11479.0252,55,25425.175,714354,2.9,741,Long,0.4564253657660892,0.20606813032941387,0.9873440445202406,12.82387577416749,2024,757,73.58652575957728,20-30m,compilation
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】",2023-06-17,1127.0,68763,0:07:30,39.94,4845.1,12404.962,0.0,12404.962,22553.538,53052.0,571.091,425.121,250.862,39492.0,18810,2484.4461,685,32010,2.14,68763,8597.3963,57,17250.061,1208068,4.35,450,Long,0.2508625423556273,0.1250293951689135,0.8289341651760395,17.5685761237875,2023,1043,65.92809204218601,10-20m,other
WZqkyN_TPfU,【ガチ照れ】リゼアンの「愛してるゲーム」は世界遺産かもしれない【偏尊報道】,2024-05-05,17.0,965749,0:00:27,164.58,3255.166,0.0,0.0,0.0,,,,,16.701,,238597,1813.8858,0,0,,978404,7506.3953,399,16128.546,465322,3.51,27,Shorts,0.016484546261053716,0.007672081573664866,0.407806999971382,0.47559290436261503,2024,720,1358.8944444444444,Shorts(≤1m),collab
UmG9xMcpWAE,【熟年夫婦?】アンジュとサロメが見る酔っ払い新年配信が湿度高めで面白い【にさんじ/切り抜き】,2025-01-05,288.0,151745,0:02:41,55.98,4858.525,23562.952,0.0,23562.952,42837.357,105402.0,496.895,406.419,187.157,86210.0,54468,2558.8531,0,0,,151745,6795.6895,88,28423.283,2740909,4.36,161,Long,0.18730951925928366,0.044783613957626284,0.5799202609641174,18.062598438169296,2025,475,319.46315789473687,1-10m,collab
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2026-03-20,2917.0,31680,0:12:18,25.31,4946.901,16455.139,0.0,16455.139,29909.51,42684.0,1563.405,700.719,675.812,19131.0,12084,2768.8033,113,13203,0.86,31680,6496.2,22,21402.04,806323,2.96,738,Long,0.6755694444444444,0.20505681818181817,0.6944444444444444,25.452114898989898,2026,36,880.0,40-50m,"compilation,collab"
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-31,1717.0,25917,0:13:27,47.04,4576.761,10966.549,0.0,10966.549,19931.165,36721.0,1286.463,542.773,599.107,15493.0,10806,2510.6652,303,18602,1.63,25917,5814.5628,23,15543.31,312257,4.3,807,Long,0.5997341513292433,0.22435323532816298,0.8874483929467145,12.048346645059228,2025,176,147.2556818181818,20-30m,"compilation,teetee,first_collab,collab"
_FY5SreoJDs,激かわおまわりさんによるカトリーナ面接（アンジュ、栞葉るり）,2023-12-09,55.0,240018,0:00:39,71.08,808.472,0.0,0.0,0.0,,,,,16.649,,58818,625.0059,0,0,,241573,2606.7086,58,3996.033,328809,4.55,39,Shorts,0.016541720308147018,0.010790562687055258,0.24009305675717071,1.36111651550463,2023,868,278.3099078341014,Shorts(≤1m),collab
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの逆転裁判まとめ【 アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-06-27,617.0,32017,0:04:48,43.23,1219.765,4210.355,0.0,4210.355,7655.02,20551.0,482.358,372.489,169.599,15870.0,8481,737.015,290,17588,1.65,32017,2568.9106,54,5430.119,535041,4.59,288,Long,0.1696011181559796,0.08023583096479996,1.6866039916294469,16.71115344972983,2023,1033,30.994191674733784,10-20m,other
06cMtCNFOTI,【激かわ】デビューした新人にカトリーナ面接をさせご満悦のアンジュまとめ【にじさんじ切り抜き/アンジュ・カトリーナ】,2023-12-09,233.0,10732,0:01:48,46.48,196.258,1535.821,0.0,1535.821,2792.389,8908.0,346.107,313.47,161.481,8068.0,3347,100.1185,134,5763,2.33,10732,322.7955,15,1732.114,134884,3.8,108,Long,0.16139713007827058,0.03007785128587402,1.3976891539321656,12.568393589265748,2023,868,12.36405529953917,1-10m,other
