series,type,interval_days,ratio_views,ratio_views_per_day,ratio_revenue,ratio_rev_per_day,ratio_rpm,ratio_subs,ratio_ctr,v1_revenue,v2_revenue
ベルアン捏造,direct_sequel,98,0.6003023440809746,0.656652564119227,0.9581466114569388,1.0480875769002147,1.5968727676799745,0.46451033243486073,1.1564245810055864,148980.267,142744.938
みこアン,direct_sequel,6,0.7314373521891019,0.7354747248782781,,,,0.6125356125356125,1.324561403508772,,49973.537
てぇてえ総集編 (アンジュ×サロメ),direct_sequel,19,0.7124360877453406,0.7893468017633034,0.6676920759895149,0.7397724705565648,0.9398007476277799,0.3898305084745763,1.1466666666666667,23279.159,15543.31
ガチャ累計 (アンジュ),concept_sequel,350,0.3442887021846584,0.586258673599579,0.5320863262145863,0.9060425795782515,1.545384415543102,0.3907351460221551,1.3617021276595744,413549.791,220044.189
10分でわかる (再アップ事故),reupload_failure,-1,0.029198232323232324,0.028409090909090908,0.04251052703387154,0.041361593870793925,1.455403277834664,-0.045454545454545456,1.6824324324324327,21402.04,909.812
