length_bin,n,med_premium_views_share,med_premium_rev_share,total_premium_rev,total_views,total_premium_views,weighted_premium_views_share
<15分,5,26.489052690758037,17.367261821078777,7823.688999999999,383162,100744,26.3
15-25分,4,25.60042402313092,21.470455146125424,65150.288,1276364,302660,23.7
25-35分,4,34.36533255149574,26.121953539755687,84885.351,981890,277829,28.3
35-50分,4,34.05830682857227,30.235096837434213,189979.123,1348420,385228,28.6
50-80分,7,36.768760098117504,35.454506349436194,536659.0430000001,2635581,955646,36.3
