dow,dow_jp,n,median_views_per_day,median_rev_per_day,median_perf_idx,median_subs_gained,total_revenue
1,火,1,30.994191674733784,5.256649564375604,0.2295330340976798,54.0,5430.119
2,水,2,86.65323821142523,3.164558929613324,0.6406371272832231,72.5,6343.943
3,木,2,935.6618584184754,511.9145519320967,6.788750486143462,939.0,825412.781
4,金,15,574.6112084063047,290.7138131400803,4.167876906356108,351.0,1927694.854
5,土,4,39.14607367086259,9.26720591191662,0.28943926428492406,30.0,42256.32
6,日,2,253.00850202429152,89.60939654520918,1.7096343155475817,73.5,51702.441999999995
