video_id,title,published_at,length_sec,engaged_views,avg_watch_time,avg_view_pct,premium_jpy,page_ad_jpy,doubleclick_jpy,adsense_jpy,yt_ad_rev_jpy,ad_impressions,cpm_playback_jpy,cpm_jpy,rpm_jpy,monetized_playbacks,premium_views,premium_watch_hours,endscreen_clicks,endscreen_impressions,endscreen_ctr,views,watch_hours,subs_gained,est_revenue_jpy,impressions,impression_ctr,avg_watch_sec,format,rev_per_view,watch_hours_per_view,subs_per_1k_views,impressions_per_view,year,age_days,views_per_day,length_bin,tag,length_min,rev_per_day,subs_per_1k,impressions_per_day
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,2024-02-22,3643.0,1395062,0:16:50,27.75,274928.156,500510.644,0.655,500509.989,909988.858,1902565.0,1144.99,478.296,555.558,794757.0,512947,149382.2231,3753,526067,0.71,1395062,391680.9063,1663,775439.244,21147529,3.14,1010,Long,0.5558457215521604,0.2807623648984776,1.1920617148198431,15.158845269959327,2024,793,1759.2206809583859,60m+,"compilation,teetee,first_collab,collab",60.71666666666667,977.8552887767969,1.1920617148198431,26667.754098360656
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2023-12-29,2849.0,1096327,0:14:11,29.89,152203.381,261346.232,2.582,261343.65,475165.362,1025078.0,797.172,463.541,377.222,596064.0,298242,77165.0885,3827,491700,0.78,1096327,259330.5491,993,413549.791,29576551,2.35,851,Long,0.3772139069821322,0.2365448895265737,0.9057516598606072,26.97785514723253,2023,848,1292.8384433962265,40-50m,gacha,47.483333333333334,487.6766403301887,0.9057516598606072,34878.00825471698
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,2024-06-28,3101.0,389739,0:15:02,29.1,71342.402,190815.888,0.0,190815.888,346910.249,628290.0,1396.298,552.15,672.702,248450.0,134041,36038.2408,1004,52539,1.91,389739,97680.1755,459,262158.29,7089068,3.33,902,Long,0.6726509022704938,0.2506297175802268,1.1777112375204946,18.189270255222084,2024,666,585.1936936936937,50-60m,"compilation,teetee,collab",51.68333333333333,393.631066066066,1.1777112375204946,10644.246246246246
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2024-12-13,4094.0,377453,0:18:18,26.83,70703.413,149340.714,0.0,149340.714,271515.763,559227.0,1170.2,485.52,582.953,232025.0,115661,36632.2332,1094,149928,0.73,377453,115161.8187,388,220044.189,7924489,3.2,1098,Long,0.5829710957390721,0.3051024066572527,1.0279425517879046,20.99463774297727,2024,498,757.937751004016,60m+,gacha,68.23333333333333,441.85580120481933,1.0279425517879046,15912.628514056225
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,2023-03-31,1891.0,626601,0:10:27,33.16,43884.366,166635.27,0.0,166635.27,302962.265,685046.0,766.44,442.251,335.8,395285.0,169408,30161.4619,10329,359826,2.87,626601,109133.8831,847,210519.944,10496627,3.65,627,Long,0.3359712863528784,0.1741680640471368,1.351737389503049,16.751692065604747,2023,1121,558.9661016949152,30-40m,"teetee,first_collab",31.516666666666666,187.79656021409454,1.351737389503049,9363.628010704728
