gap_bin,n,median_perf,median_views_per_day,median_rev_per_day
1週以内,5,2.2172452858271017,319.46315789473687,59.83849052631579
8-14日,6,2.027280205009805,273.0779057796019,68.08325834755914
15-30日,6,1.5267709030352425,205.54357554605093,111.72456994328923
31-60日,2,6.637378952520773,916.4036033589816,505.72102285603387
61-120日,1,4.1778044692044425,585.1936936936937,393.631066066066
121-365日,5,4.924113776468957,757.937751004016,441.85580120481933
