partner,n,median_perf_idx,median_views,total_revenue
ベル,2,3.3786442847590212,247526.0,222876.517
サロメ,3,1.2020233452680615,36378.0,67245.752
竜胆,2,0.983932979181696,144227.0,49973.537
リゼ,1,16.534785275124374,44764.0,23252.806
マリン,1,1.0183393594888837,157473.0,10566.82
戌亥とこ,1,1.25777777548174,187239.0,6333.434
